Trajectories
100
,,Patient 1:O,,,Patient 1:X,,,Patient 1:Y,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
68,0,-285.388,261.942,1538.18,-322.179,267.314,1537.76,-282.672,275.271,1485.22
69,0,-285.038,260.946,1538.97,-321.917,266.299,1538.58,-282.333,274.545,1486.15
70,0,-284.724,260.014,1539.99,-321.47,265.281,1539.57,-282.084,273.491,1486.87
71,0,-284.247,258.927,1540.7,-321.103,264.182,1540.35,-281.837,272.448,1487.71
72,0,-283.958,257.843,1541.57,-320.79,262.869,1541.12,-281.689,271.531,1488.42
73,0,-283.613,256.683,1542.22,-320.394,261.858,1541.96,-281.463,270.337,1489.25
74,0,-283.345,255.684,1542.98,-320.126,260.591,1542.74,-281.252,269.407,1489.96
75,0,-283.022,254.568,1543.53,-319.77,259.474,1543.36,-280.918,268.157,1490.57
76,0,-282.742,253.678,1544.1,-319.53,258.384,1543.96,-280.671,267.283,1491.2
77,0,-282.383,252.528,1544.66,-319.228,257.402,1544.53,-280.526,266.346,1491.56
78,0,-282.131,251.731,1545.07,-318.889,256.624,1545,-280.237,265.356,1492.07
79,0,-281.796,250.866,1545.35,-318.671,255.487,1545.38,-280.018,264.699,1492.48
80,0,-281.586,250.024,1545.71,-318.424,254.691,1545.57,-279.836,263.786,1492.65
81,0,-281.333,249.384,1545.79,-318.179,254.014,1545.86,-279.745,263.138,1492.7
82,0,-281.107,248.755,1545.91,-317.971,253.316,1545.86,-279.435,262.349,1492.82
83,0,-280.964,248.091,1545.9,-317.81,252.647,1545.9,-279.302,261.935,1492.84
84,0,-280.824,247.335,1545.7,-317.627,251.947,1545.73,-279.072,261.388,1492.73
85,0,-280.609,246.766,1545.58,-317.429,251.319,1545.55,-278.916,260.745,1492.56
86,0,-280.503,246.345,1545.37,-317.272,250.837,1545.43,-278.798,260.056,1492.32
87,0,-280.356,245.88,1545.09,-317.082,250.247,1545.13,-278.684,259.543,1492.14
88,0,-280.11,245.187,1544.71,-317.001,249.456,1544.66,-278.542,259.131,1491.84
89,0,-279.976,244.451,1544.37,-316.897,248.789,1544.29,-278.38,258.65,1491.54
90,0,-279.966,243.96,1544.14,-316.779,248.422,1544.06,-278.239,258.08,1491.2
91,0,-279.867,243.297,1543.67,-316.652,247.599,1543.55,-278.16,257.304,1490.79
92,0,-279.784,242.646,1543.28,-316.688,246.857,1543.14,-278.036,256.637,1490.35
93,0,-279.811,242.05,1542.95,-316.723,246.281,1542.76,-277.986,256.143,1490.05
94,0,-279.765,241.349,1542.6,-316.669,245.552,1542.36,-277.914,255.648,1489.8
95,0,-279.741,240.56,1542.24,-316.7,244.794,1542.06,-277.883,254.848,1489.38
96,0,-279.779,239.929,1541.86,-316.79,243.971,1541.7,-277.855,254.044,1488.97
97,0,-279.788,239.359,1541.52,-316.695,243.309,1541.28,-277.841,253.502,1488.63
