X [s],Analog Input adapter 16: Analog.A 16 [V],Analog Input adapter 16: Analog.B 16 [V],Analog Input adapter 16: Analog.C 16 [V],Analog Input adapter 16: Analog.D 16 [V]
0.000000e+000,2.867989e-001,1.417820e+000,7.079109e-002,1.417350e+000
1.928571e-003,2.866421e-001,1.417820e+000,7.079109e-002,1.417507e+000
3.857143e-003,2.866421e-001,1.418134e+000,7.094796e-002,1.417350e+000
5.785714e-003,2.867989e-001,1.418134e+000,7.079109e-002,1.417350e+000
7.714286e-003,2.866421e-001,1.417977e+000,7.110482e-002,1.417350e+000
9.642857e-003,2.864852e-001,1.417977e+000,7.079109e-002,1.417350e+000
1.157143e-002,2.864852e-001,1.417977e+000,7.079109e-002,1.417507e+000
1.350000e-002,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
1.542857e-002,2.866421e-001,1.417820e+000,7.063422e-002,1.417350e+000
1.735714e-002,2.866421e-001,1.417977e+000,7.094796e-002,1.417507e+000
1.928571e-002,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
2.121429e-002,2.866421e-001,1.417977e+000,7.094796e-002,1.417350e+000
2.314286e-002,2.866421e-001,1.417820e+000,7.079109e-002,1.417507e+000
2.507143e-002,2.863283e-001,1.417820e+000,7.079109e-002,1.417350e+000
2.700000e-002,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
2.892857e-002,2.866421e-001,1.418134e+000,7.079109e-002,1.417350e+000
3.085714e-002,2.866421e-001,1.417977e+000,7.094796e-002,1.417350e+000
3.278571e-002,2.866421e-001,1.418134e+000,7.079109e-002,1.417350e+000
3.471429e-002,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
3.664286e-002,2.866421e-001,1.417977e+000,7.094796e-002,1.417350e+000
3.857143e-002,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
4.050000e-002,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
4.242857e-002,2.866421e-001,1.418134e+000,7.079109e-002,1.417350e+000
4.435714e-002,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
4.628571e-002,2.866421e-001,1.417977e+000,7.094796e-002,1.417664e+000
4.821429e-002,2.866421e-001,1.417977e+000,7.110482e-002,1.417350e+000
5.014286e-002,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
5.207143e-002,2.863283e-001,1.417977e+000,7.079109e-002,1.417350e+000
5.400000e-002,2.863283e-001,1.417977e+000,7.079109e-002,1.417350e+000
5.592857e-002,2.863283e-001,1.417977e+000,7.079109e-002,1.417350e+000
5.785714e-002,2.866421e-001,1.417820e+000,7.079109e-002,1.417350e+000
5.978571e-002,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
6.171429e-002,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
6.364286e-002,2.866421e-001,1.418134e+000,7.079109e-002,1.417350e+000
6.557143e-002,2.863283e-001,1.417977e+000,7.079109e-002,1.417350e+000
6.750000e-002,2.863283e-001,1.417977e+000,7.079109e-002,1.417350e+000
6.942857e-002,2.863283e-001,1.418134e+000,7.079109e-002,1.417350e+000
7.135714e-002,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
7.328571e-002,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
7.521429e-002,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
7.714286e-002,2.867989e-001,1.418134e+000,7.079109e-002,1.417507e+000
7.907143e-002,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
8.100000e-002,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
8.292857e-002,2.863283e-001,1.417820e+000,7.079109e-002,1.417350e+000
8.485714e-002,2.864852e-001,1.417977e+000,7.079109e-002,1.417350e+000
8.678571e-002,2.866421e-001,1.417977e+000,7.032049e-002,1.417036e+000
8.871429e-002,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
9.064286e-002,2.866421e-001,1.417977e+000,7.079109e-002,1.417507e+000
9.257143e-002,2.864852e-001,1.417977e+000,7.079109e-002,1.417350e+000
9.450000e-002,2.866421e-001,1.417977e+000,7.094796e-002,1.417350e+000
9.642857e-002,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
9.835714e-002,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
1.002857e-001,2.867989e-001,1.417820e+000,7.079109e-002,1.417350e+000
1.022143e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
1.041429e-001,2.866421e-001,1.417977e+000,7.094796e-002,1.417350e+000
1.060714e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
1.080000e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
1.099286e-001,2.866421e-001,1.417977e+000,7.094796e-002,1.417507e+000
1.118571e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417507e+000
1.137857e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
1.157143e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
1.176429e-001,2.866421e-001,1.417664e+000,7.094796e-002,1.417350e+000
1.195714e-001,2.866421e-001,1.417664e+000,7.079109e-002,1.417350e+000
1.215000e-001,2.866421e-001,1.417820e+000,7.079109e-002,1.417036e+000
1.234286e-001,2.863283e-001,1.417820e+000,7.079109e-002,1.417350e+000
1.253571e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417350e+000
1.272857e-001,2.866421e-001,1.417977e+000,7.094796e-002,1.417350e+000
1.292143e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417036e+000
1.311429e-001,2.863283e-001,1.417977e+000,7.079109e-002,1.417350e+000
1.330714e-001,2.863283e-001,1.417977e+000,7.079109e-002,1.417350e+000
1.350000e-001,2.866421e-001,1.417664e+000,7.047735e-002,1.417350e+000
1.369286e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
1.388571e-001,2.864852e-001,1.417977e+000,7.079109e-002,1.417350e+000
1.407857e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
1.427143e-001,2.866421e-001,1.417820e+000,7.079109e-002,1.417036e+000
1.446429e-001,2.866421e-001,1.417664e+000,7.047735e-002,1.417350e+000
1.465714e-001,2.864852e-001,1.417820e+000,7.047735e-002,1.417350e+000
1.485000e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
1.504286e-001,2.866421e-001,1.417820e+000,7.079109e-002,1.417350e+000
1.523571e-001,2.867989e-001,1.417977e+000,7.047735e-002,1.417350e+000
1.542857e-001,2.861715e-001,1.417820e+000,7.079109e-002,1.417193e+000
1.562143e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417193e+000
1.581429e-001,2.869558e-001,1.417664e+000,7.079109e-002,1.417507e+000
1.600714e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
1.620000e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
1.639286e-001,2.866421e-001,1.417820e+000,7.079109e-002,1.417350e+000
1.658571e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417507e+000
1.677857e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417350e+000
1.697143e-001,2.866421e-001,1.417977e+000,7.094796e-002,1.417350e+000
1.716429e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
1.735714e-001,2.863283e-001,1.417820e+000,7.047735e-002,1.417350e+000
1.755000e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
1.774286e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
1.793571e-001,2.863283e-001,1.417977e+000,7.079109e-002,1.417350e+000
1.812857e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
1.832143e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
1.851429e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
1.870714e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
1.890000e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417036e+000
1.909286e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
1.928571e-001,2.866421e-001,1.417820e+000,7.047735e-002,1.417350e+000
1.947857e-001,2.866421e-001,1.418134e+000,7.047735e-002,1.417350e+000
1.967143e-001,2.863283e-001,1.417977e+000,7.079109e-002,1.417350e+000
1.986429e-001,2.863283e-001,1.417977e+000,7.079109e-002,1.417350e+000
2.005714e-001,2.863283e-001,1.417977e+000,7.063422e-002,1.417350e+000
2.025000e-001,2.866421e-001,1.417820e+000,7.079109e-002,1.417350e+000
2.044286e-001,2.863283e-001,1.417977e+000,7.079109e-002,1.417350e+000
2.063571e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
2.082857e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
2.102143e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
2.121429e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417036e+000
2.140714e-001,2.863283e-001,1.417664e+000,7.047735e-002,1.417036e+000
2.160000e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417036e+000
2.179286e-001,2.866421e-001,1.417820e+000,7.079109e-002,1.417350e+000
2.198571e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
2.217857e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417193e+000
2.237143e-001,2.867989e-001,1.417977e+000,7.079109e-002,1.417350e+000
2.256429e-001,2.863283e-001,1.417977e+000,7.079109e-002,1.417350e+000
2.275714e-001,2.863283e-001,1.417664e+000,7.079109e-002,1.417350e+000
2.295000e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
2.314286e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417193e+000
2.333571e-001,2.866421e-001,1.417664e+000,7.047735e-002,1.417350e+000
2.352857e-001,2.863283e-001,1.417977e+000,7.047735e-002,1.417350e+000
2.372143e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417193e+000
2.391429e-001,2.864852e-001,1.417977e+000,7.079109e-002,1.417350e+000
2.410714e-001,2.863283e-001,1.417820e+000,7.047735e-002,1.417350e+000
2.430000e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
2.449286e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
2.468571e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
2.487857e-001,2.864852e-001,1.417977e+000,7.079109e-002,1.417507e+000
2.507143e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417193e+000
2.526429e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
2.545714e-001,2.863283e-001,1.417820e+000,7.079109e-002,1.417350e+000
2.565000e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417350e+000
2.584286e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
2.603571e-001,2.863283e-001,1.417977e+000,7.079109e-002,1.417350e+000
2.622857e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
2.642143e-001,2.864852e-001,1.417820e+000,7.079109e-002,1.417350e+000
2.661429e-001,2.864852e-001,1.417977e+000,7.079109e-002,1.417507e+000
2.680714e-001,2.866421e-001,1.417820e+000,7.079109e-002,1.417350e+000
2.700000e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
2.719286e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417507e+000
2.738571e-001,2.866421e-001,1.417820e+000,7.079109e-002,1.417350e+000
2.757857e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
2.777143e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417193e+000
2.796429e-001,2.866421e-001,1.417977e+000,7.094796e-002,1.417350e+000
2.815714e-001,2.863283e-001,1.417820e+000,7.079109e-002,1.417350e+000
2.835000e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
2.854286e-001,2.866421e-001,1.417820e+000,7.079109e-002,1.417350e+000
2.873571e-001,2.863283e-001,1.417820e+000,7.079109e-002,1.417193e+000
2.892857e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
2.912143e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
2.931429e-001,2.866421e-001,1.417664e+000,7.079109e-002,1.417507e+000
2.950714e-001,2.863283e-001,1.417977e+000,7.047735e-002,1.417350e+000
2.970000e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
2.989286e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
3.008571e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
3.027857e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417350e+000
3.047143e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
3.066429e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
3.085714e-001,2.863283e-001,1.417820e+000,7.079109e-002,1.417193e+000
3.105000e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
3.124286e-001,2.863283e-001,1.417977e+000,7.079109e-002,1.417350e+000
3.143571e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417193e+000
3.162857e-001,2.866421e-001,1.417977e+000,7.032049e-002,1.417350e+000
3.182143e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417036e+000
3.201429e-001,2.863283e-001,1.417977e+000,7.047735e-002,1.417350e+000
3.220714e-001,2.863283e-001,1.417664e+000,7.079109e-002,1.417036e+000
3.240000e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
3.259286e-001,2.866421e-001,1.417977e+000,7.094796e-002,1.417350e+000
3.278571e-001,2.866421e-001,1.417977e+000,7.063422e-002,1.417350e+000
3.297857e-001,2.863283e-001,1.417977e+000,7.079109e-002,1.417193e+000
3.317143e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417193e+000
3.336429e-001,2.866421e-001,1.418134e+000,7.047735e-002,1.417193e+000
3.355714e-001,2.864852e-001,1.417820e+000,7.079109e-002,1.417350e+000
3.375000e-001,2.863283e-001,1.417820e+000,7.047735e-002,1.417350e+000
3.394286e-001,2.863283e-001,1.417977e+000,7.079109e-002,1.417193e+000
3.413571e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417036e+000
3.432857e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
3.452143e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
3.471429e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417350e+000
3.490714e-001,2.866421e-001,1.417977e+000,7.063422e-002,1.417036e+000
3.510000e-001,2.866421e-001,1.417820e+000,7.094796e-002,1.417350e+000
3.529286e-001,2.866421e-001,1.417820e+000,7.079109e-002,1.417350e+000
3.548571e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
3.567857e-001,2.863283e-001,1.417820e+000,7.047735e-002,1.417350e+000
3.587143e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417036e+000
3.606429e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417193e+000
3.625714e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
3.645000e-001,2.863283e-001,1.417977e+000,7.047735e-002,1.417350e+000
3.664286e-001,2.863283e-001,1.417977e+000,7.063422e-002,1.417350e+000
3.683571e-001,2.863283e-001,1.417664e+000,7.079109e-002,1.417036e+000
3.702857e-001,2.866421e-001,1.417820e+000,7.063422e-002,1.417350e+000
3.722143e-001,2.866421e-001,1.417664e+000,7.079109e-002,1.417350e+000
3.741429e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
3.760714e-001,2.866421e-001,1.417820e+000,7.079109e-002,1.417193e+000
3.780000e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417193e+000
3.799286e-001,2.863283e-001,1.417977e+000,7.094796e-002,1.417350e+000
3.818571e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
3.837857e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
3.857143e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
3.876429e-001,2.866421e-001,1.417820e+000,7.079109e-002,1.417350e+000
