X [s],Analog Input adapter 16: Analog.A 16 [V],Analog Input adapter 16: Analog.B 16 [V],Analog Input adapter 16: Analog.C 16 [V],Analog Input adapter 16: Analog.D 16 [V]
1.485000e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
1.504286e-001,2.866421e-001,1.418291e+000,7.032049e-002,1.417507e+000
1.523571e-001,2.866421e-001,1.418134e+000,7.047735e-002,1.417507e+000
1.542857e-001,2.867989e-001,1.418291e+000,7.094796e-002,1.417507e+000
1.562143e-001,2.867989e-001,1.418291e+000,7.079109e-002,1.417350e+000
1.581429e-001,2.866421e-001,1.418291e+000,7.079109e-002,1.417350e+000
1.600714e-001,2.867989e-001,1.418291e+000,7.079109e-002,1.417507e+000
1.620000e-001,2.863283e-001,1.417977e+000,7.047735e-002,1.417664e+000
1.639286e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417664e+000
1.658571e-001,2.866421e-001,1.418291e+000,7.047735e-002,1.417664e+000
1.677857e-001,2.866421e-001,1.418448e+000,7.079109e-002,1.417350e+000
1.697143e-001,2.866421e-001,1.418134e+000,7.047735e-002,1.417350e+000
1.716429e-001,2.866421e-001,1.418291e+000,7.079109e-002,1.417350e+000
1.735714e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417507e+000
1.755000e-001,2.867989e-001,1.418134e+000,7.047735e-002,1.417507e+000
1.774286e-001,2.867989e-001,1.418291e+000,7.079109e-002,1.417507e+000
1.793571e-001,2.866421e-001,1.417820e+000,7.079109e-002,1.417507e+000
1.812857e-001,2.866421e-001,1.418291e+000,7.079109e-002,1.417664e+000
1.832143e-001,2.867989e-001,1.417977e+000,7.047735e-002,1.417350e+000
1.851429e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417664e+000
1.870714e-001,2.867989e-001,1.418291e+000,7.094796e-002,1.417664e+000
1.890000e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417507e+000
1.909286e-001,2.869558e-001,1.418134e+000,7.047735e-002,1.417664e+000
1.928571e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417664e+000
1.947857e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417664e+000
1.967143e-001,2.867989e-001,1.418134e+000,7.079109e-002,1.417507e+000
1.986429e-001,2.866421e-001,1.418291e+000,7.094796e-002,1.417507e+000
2.005714e-001,2.867989e-001,1.418291e+000,7.079109e-002,1.417507e+000
2.025000e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417664e+000
2.044286e-001,2.866421e-001,1.418291e+000,7.063422e-002,1.417507e+000
2.063571e-001,2.866421e-001,1.418134e+000,7.047735e-002,1.417664e+000
2.082857e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417507e+000
2.102143e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417507e+000
2.121429e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
2.140714e-001,2.866421e-001,1.418291e+000,7.079109e-002,1.417507e+000
2.160000e-001,2.866421e-001,1.417977e+000,7.063422e-002,1.417664e+000
2.179286e-001,2.866421e-001,1.418134e+000,7.110482e-002,1.417350e+000
2.198571e-001,2.866421e-001,1.418134e+000,7.047735e-002,1.417507e+000
2.217857e-001,2.867989e-001,1.418134e+000,7.047735e-002,1.417350e+000
2.237143e-001,2.867989e-001,1.418134e+000,7.047735e-002,1.417350e+000
2.256429e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417350e+000
2.275714e-001,2.866421e-001,1.418134e+000,7.047735e-002,1.417350e+000
2.295000e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417507e+000
2.314286e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417664e+000
2.333571e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417507e+000
2.352857e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417507e+000
2.372143e-001,2.867989e-001,1.418134e+000,7.079109e-002,1.417507e+000
2.391429e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417350e+000
2.410714e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417664e+000
2.430000e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417664e+000
2.449286e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417507e+000
2.468571e-001,2.866421e-001,1.418134e+000,7.047735e-002,1.417507e+000
2.487857e-001,2.867989e-001,1.418134e+000,7.079109e-002,1.417350e+000
2.507143e-001,2.866421e-001,1.417977e+000,7.063422e-002,1.417664e+000
2.526429e-001,2.866421e-001,1.418291e+000,7.079109e-002,1.417350e+000
2.545714e-001,2.866421e-001,1.418291e+000,7.079109e-002,1.417664e+000
2.565000e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417664e+000
2.584286e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417664e+000
2.603571e-001,2.867989e-001,1.417977e+000,7.079109e-002,1.417664e+000
2.622857e-001,2.867989e-001,1.418134e+000,7.079109e-002,1.417507e+000
2.642143e-001,2.869558e-001,1.418291e+000,7.047735e-002,1.417507e+000
2.661429e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
2.680714e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
2.700000e-001,2.866421e-001,1.418291e+000,7.047735e-002,1.417664e+000
2.719286e-001,2.866421e-001,1.418291e+000,7.079109e-002,1.417664e+000
2.738571e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
2.757857e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417664e+000
2.777143e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417350e+000
2.796429e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417664e+000
2.815714e-001,2.869558e-001,1.418134e+000,7.047735e-002,1.417350e+000
2.835000e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417507e+000
2.854286e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
2.873571e-001,2.866421e-001,1.418291e+000,7.047735e-002,1.417507e+000
2.892857e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417507e+000
2.912143e-001,2.867989e-001,1.417977e+000,7.047735e-002,1.417664e+000
2.931429e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417350e+000
2.950714e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417507e+000
2.970000e-001,2.866421e-001,1.418134e+000,7.047735e-002,1.417507e+000
2.989286e-001,2.863283e-001,1.417977e+000,7.079109e-002,1.417507e+000
3.008571e-001,2.866421e-001,1.418134e+000,7.047735e-002,1.417664e+000
3.027857e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417507e+000
3.047143e-001,2.866421e-001,1.418291e+000,7.079109e-002,1.417664e+000
3.066429e-001,2.867989e-001,1.417977e+000,7.079109e-002,1.417350e+000
3.085714e-001,2.867989e-001,1.417977e+000,7.047735e-002,1.417507e+000
3.105000e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417507e+000
3.124286e-001,2.867989e-001,1.418134e+000,7.047735e-002,1.417507e+000
