Trajectories
100
,,Patient 1:O,,,Patient 1:X,,,Patient 1:Y,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
68,0,-256.522,223.279,1537.14,-293.762,225.548,1536.58,-255.87,219.674,1482.4
69,0,-256.526,223.197,1537.12,-293.799,225.571,1536.6,-255.89,219.614,1482.37
70,0,-256.518,223.142,1537.1,-293.78,225.426,1536.51,-255.896,219.566,1482.32
71,0,-256.552,223.076,1537.06,-293.816,225.327,1536.42,-255.919,219.505,1482.28
72,0,-256.409,223.129,1537.07,-293.828,225.251,1536.36,-255.939,219.42,1482.21
73,0,-256.388,223.099,1537.06,-293.836,225.185,1536.3,-255.973,219.373,1482.17
74,0,-256.583,222.991,1537.04,-293.743,225.299,1536.38,-255.98,219.299,1482.15
75,0,-256.688,222.772,1536.89,-293.806,225.189,1536.29,-255.999,219.192,1482.08
76,0,-256.736,222.682,1536.83,-293.931,224.869,1536.1,-256.034,219.153,1482.06
77,0,-256.791,222.621,1536.75,-293.959,224.752,1536.02,-256.05,219.046,1482
78,0,-256.804,222.519,1536.65,-293.967,224.65,1535.99,-256.061,218.962,1481.95
79,0,-256.849,222.43,1536.6,-294.007,224.576,1535.98,-256.088,218.84,1481.93
80,0,-256.893,222.303,1536.52,-294.032,224.452,1535.92,-256.105,218.727,1481.87
81,0,-256.906,222.169,1536.44,-294.067,224.31,1535.85,-256.112,218.564,1481.83
82,0,-256.944,222.101,1536.4,-294.134,224.103,1535.79,-256.156,218.398,1481.75
83,0,-256.995,221.979,1536.34,-294.195,223.912,1535.7,-256.2,218.296,1481.71
84,0,-257.026,221.793,1536.29,-294.247,223.689,1535.64,-256.219,218.067,1481.61
85,0,-256.969,221.603,1536.29,-294.213,223.668,1535.67,-256.28,217.871,1481.54
86,0,-257.049,221.285,1536.19,-294.315,223.296,1535.5,-256.293,217.724,1481.46
87,0,-257.099,221.006,1536.08,-294.346,223.13,1535.44,-256.311,217.56,1481.43
88,0,-257.134,220.772,1536.01,-294.333,222.976,1535.35,-256.305,217.427,1481.39
89,0,-257.166,220.57,1535.98,-294.337,222.832,1535.29,-256.317,217.248,1481.38
90,0,-257.175,220.442,1535.97,-294.348,222.691,1535.24,-256.294,217.091,1481.38
91,0,-257.176,220.278,1535.95,-294.337,222.561,1535.2,-256.309,216.937,1481.36
92,0,-257.201,220.188,1535.97,-294.341,222.425,1535.15,-256.329,216.726,1481.36
93,0,-257.226,220.091,1535.97,-294.391,222.289,1535.13,-256.365,216.577,1481.34
94,0,-257.228,220.031,1535.99,-294.383,222.135,1535.13,-256.368,216.352,1481.3
95,0,-257.26,219.922,1536,-294.434,221.971,1535.13,-256.378,216.126,1481.26
96,0,-257.254,219.805,1535.97,-294.474,221.78,1535.15,-256.414,215.863,1481.18
97,0,-257.28,219.626,1535.93,-294.513,221.563,1535.16,-256.464,215.723,1481.18
98,0,-257.295,219.5,1535.96,-294.537,221.409,1535.2,-256.48,215.608,1481.15
99,0,-257.304,219.343,1535.92,-294.52,221.255,1535.23,-256.485,215.449,1481.15
100,0,-257.314,219.189,1535.93,-294.511,221.116,1535.26,-256.486,215.343,1481.14
101,0,-257.292,219.002,1535.92,-294.495,220.999,1535.27,-256.5,215.238,1481.13
102,0,-257.311,218.92,1535.97,-294.458,220.855,1535.28,-256.482,215.16,1481.15
103,0,-257.304,218.782,1535.98,-294.438,220.768,1535.32,-256.466,215.073,1481.19
104,0,-257.305,218.669,1536.03,-294.443,220.705,1535.33,-256.459,214.998,1481.2
105,0,-257.281,218.526,1536.08,-294.417,220.6,1535.33,-256.448,214.876,1481.23
106,0,-257.297,218.426,1536.14,-294.427,220.501,1535.33,-256.463,214.827,1481.33
107,0,-257.291,218.27,1536.13,-294.429,220.405,1535.35,-256.442,214.739,1481.3
108,0,-257.273,218.187,1536.17,-294.42,220.433,1535.46,-256.421,214.693,1481.32
109,0,-257.26,218.116,1536.21,-294.415,220.244,1535.43,-256.405,214.597,1481.38
110,0,-257.25,218.007,1536.21,-294.415,220.156,1535.42,-256.4,214.574,1481.41
111,0,-257.256,217.957,1536.23,-294.422,220.091,1535.44,-256.405,214.528,1481.43
112,0,-257.229,217.894,1536.27,-294.421,220.067,1535.5,-256.385,214.428,1481.45
113,0,-257.221,217.855,1536.29,-294.387,219.991,1535.49,-256.351,214.379,1481.51
114,0,-257.208,217.786,1536.3,-294.366,219.936,1535.53,-256.347,214.324,1481.51
115,0,-257.206,217.751,1536.32,-294.353,219.867,1535.57,-256.339,214.276,1481.52
116,0,-257.199,217.726,1536.35,-294.342,219.809,1535.61,-256.316,214.188,1481.52
117,0,-257.197,217.722,1536.37,-294.331,219.74,1535.63,-256.316,214.141,1481.56
118,0,-257.182,217.64,1536.41,-294.356,219.698,1535.69,-256.295,214.073,1481.57
119,0,-257.173,217.61,1536.44,-294.357,219.254,1535.38,-256.32,214.044,1481.64
120,0,-257.173,217.576,1536.47,-294.329,219.223,1535.42,-256.318,214.019,1481.65
121,0,-257.169,217.558,1536.51,-294.276,219.781,1535.92,-256.304,213.929,1481.65
122,0,-257.158,217.551,1536.53,-294.041,219.537,1536.06,-256.296,213.963,1481.7
123,0,-257.137,217.549,1536.58,-293.998,219.752,1536.19,-256.27,213.955,1481.74
124,0,-257.107,217.517,1536.6,-293.987,219.582,1536.15,-256.254,213.928,1481.78
125,0,-257.066,217.485,1536.63,-294.138,219.603,1536,-256.241,213.91,1481.8
126,0,-257.017,217.475,1536.69,-294.099,219.586,1536.02,-256.202,213.883,1481.8
127,0,-257.007,217.453,1536.73,-294.06,219.558,1536.06,-256.187,213.838,1481.83
128,0,-256.995,217.406,1536.77,-294.057,219.509,1536.09,-256.196,213.791,1481.9
129,0,-256.957,217.367,1536.81,-294.037,219.5,1536.14,-256.178,213.742,1481.93
130,0,-256.935,217.299,1536.84,-294.005,219.484,1536.17,-256.17,213.702,1481.98
131,0,-256.883,217.264,1536.91,-294.018,219.439,1536.24,-256.117,213.631,1482.01
132,0,-256.841,217.203,1536.94,-293.995,219.424,1536.27,-256.088,213.568,1482.06
133,0,-256.801,217.164,1536.99,-293.965,219.387,1536.29,-256.071,213.504,1482.09
134,0,-256.737,217.097,1537.04,-293.932,219.349,1536.32,-256.006,213.44,1482.16
135,0,-256.699,217.062,1537.1,-293.921,219.313,1536.38,-255.983,213.36,1482.21
136,0,-256.686,216.958,1537.13,-293.918,219.243,1536.4,-255.953,213.275,1482.26
137,0,-256.627,216.864,1537.13,-293.898,219.167,1536.44,-255.915,213.216,1482.31
138,0,-256.61,216.816,1537.17,-293.864,219.012,1536.46,-255.899,213.102,1482.34
139,0,-256.6,216.765,1537.2,-293.838,218.933,1536.52,-255.863,213.068,1482.4
140,0,-256.59,216.748,1537.24,-293.796,218.851,1536.56,-255.846,213.035,1482.46
141,0,-256.545,216.693,1537.27,-293.75,218.799,1536.59,-255.834,212.991,1482.47
142,0,-256.528,216.679,1537.31,-293.72,218.759,1536.65,-255.817,213.004,1482.54
143,0,-256.475,216.647,1537.34,-293.681,218.668,1536.7,-255.803,212.988,1482.58
144,0,-256.44,216.612,1537.37,-293.614,218.626,1536.74,-255.774,212.984,1482.63
145,0,-256.391,216.601,1537.41,-293.552,218.523,1536.77,-255.759,212.961,1482.64
146,0,-256.354,216.517,1537.43,-293.495,218.433,1536.78,-255.717,212.911,1482.64
147,0,-256.285,216.474,1537.47,-293.46,218.388,1536.84,-255.681,212.823,1482.69
148,0,-256.241,216.353,1537.52,-293.447,218.334,1536.87,-255.68,212.798,1482.72
149,0,-256.222,216.319,1537.58,-293.428,218.252,1536.86,-255.682,212.626,1482.72
150,0,-256.185,216.272,1537.66,-293.31,218.394,1536.98,-255.59,212.722,1482.8
151,0,-256.157,216.2,1537.72,-293.291,218.297,1537.06,-255.609,212.611,1482.83
152,0,-256.147,216.144,1537.81,-293.357,218.175,1537.02,-255.59,212.575,1482.87
153,0,-256.11,216.088,1537.88,-293.345,218.177,1537.09,-255.519,212.563,1482.96
154,0,-256.052,216.029,1537.93,-293.329,218.13,1537.13,-255.463,212.468,1482.99
155,0,-256.037,216.012,1537.97,-293.278,218.094,1537.16,-255.427,212.434,1483.05
156,0,-255.993,215.957,1537.99,-293.231,218.089,1537.2,-255.405,212.422,1483.09
157,0,-255.98,215.924,1538.03,-293.179,218.049,1537.24,-255.371,212.389,1483.14
158,0,-255.942,215.912,1538.05,-293.17,218.017,1537.26,-255.359,212.323,1483.16
159,0,-255.927,215.833,1538.05,-293.165,217.974,1537.29,-255.324,212.291,1483.22
160,0,-255.921,215.802,1538.08,-293.137,217.907,1537.35,-255.317,212.296,1483.26
161,0,-255.908,215.73,1538.11,-293.104,217.889,1537.38,-255.293,212.239,1483.27
162,0,-255.866,215.711,1538.1,-293.101,217.862,1537.41,-255.271,212.224,1483.31
163,0,-255.858,215.638,1538.12,-293.084,217.824,1537.42,-255.269,212.227,1483.32
164,0,-255.815,215.599,1538.09,-293.051,217.802,1537.42,-255.257,212.207,1483.33
165,0,-255.767,215.545,1538.09,-293.01,217.754,1537.41,-255.239,212.164,1483.33
166,0,-255.641,215.44,1538.12,-292.915,217.735,1537.47,-255.21,212.121,1483.3
167,0,-255.716,215.403,1538.03,-292.973,217.661,1537.4,-255.213,212.071,1483.27
168,0,-255.677,215.335,1537.98,-292.958,217.617,1537.38,-255.196,212.025,1483.26
169,0,-255.677,215.276,1537.96,-292.925,217.547,1537.35,-255.206,211.965,1483.21
170,0,-255.661,215.213,1537.96,-292.922,217.494,1537.31,-255.21,211.941,1483.2
171,0,-255.67,215.212,1537.94,-292.813,217.569,1537.35,-255.146,211.952,1483.23
172,0,-255.665,215.142,1537.92,-292.827,217.519,1537.34,-255.141,211.935,1483.23
173,0,-255.641,215.118,1537.88,-292.83,217.476,1537.26,-255.136,211.934,1483.21
174,0,-255.641,215.086,1537.85,-292.805,217.455,1537.23,-255.102,211.878,1483.17
175,0,-255.629,215.074,1537.79,-292.923,217.325,1537.12,-255.165,211.741,1483.05
176,0,-255.585,215.061,1537.76,-292.893,217.298,1537.08,-255.166,211.738,1483.04
177,0,-255.589,215.048,1537.73,-292.858,217.254,1537.06,-255.126,211.687,1482.98
178,0,-255.582,214.981,1537.65,-292.862,217.213,1537.01,-255.157,211.712,1482.95
179,0,-255.59,214.97,1537.63,-292.881,217.175,1536.96,-255.124,211.647,1482.89
180,0,-255.604,214.959,1537.57,-292.896,217.184,1536.93,-255.181,211.666,1482.87
181,0,-255.639,214.948,1537.57,-292.897,217.184,1536.93,-255.172,211.655,1482.86
182,0,-255.655,214.964,1537.53,-292.916,217.184,1536.87,-255.204,211.681,1482.83
183,0,-255.658,214.943,1537.5,-292.918,217.183,1536.87,-255.204,211.681,1482.83
184,0,-255.654,214.976,1537.46,-292.907,217.314,1536.94,-255.206,211.654,1482.79
185,0,-255.656,215.002,1537.44,-292.908,217.204,1536.81,-255.165,211.626,1482.72
186,0,-255.662,214.993,1537.43,-292.917,217.256,1536.78,-255.168,211.667,1482.7
187,0,-255.654,215.04,1537.4,-292.898,217.282,1536.73,-255.143,211.653,1482.65
188,0,-255.656,215.087,1537.37,-292.91,217.338,1536.72,-255.174,211.705,1482.6
189,0,-255.659,215.124,1537.33,-292.908,217.382,1536.68,-255.148,211.744,1482.57
190,0,-255.688,215.162,1537.3,-292.912,217.449,1536.66,-255.199,211.788,1482.54
191,0,-255.725,215.262,1537.23,-292.943,217.544,1536.62,-255.2,211.789,1482.46
192,0,-255.713,215.302,1537.17,-292.974,217.58,1536.58,-255.22,211.832,1482.42
193,0,-255.737,215.397,1537.14,-293.015,217.646,1536.57,-255.232,211.912,1482.43
194,0,-255.776,215.505,1537.11,-293.031,217.707,1536.55,-255.244,211.98,1482.4
195,0,-255.805,215.614,1537.06,-293.037,217.802,1536.53,-255.233,212.037,1482.41
196,0,-255.816,215.708,1537.01,-293.043,217.879,1536.53,-255.24,212.086,1482.37
197,0,-255.817,215.831,1536.93,-293.062,217.972,1536.52,-255.224,212.171,1482.31
198,0,-255.82,215.939,1536.9,-293.048,218.04,1536.49,-255.224,212.264,1482.31
199,0,-255.816,216.079,1536.89,-293.077,218.088,1536.45,-255.237,212.385,1482.27
200,0,-255.805,216.204,1536.86,-293.072,218.27,1536.42,-255.198,212.467,1482.23
201,0,-255.709,216.405,1536.94,-292.943,218.553,1536.46,-255.176,212.648,1482.3
202,0,-255.814,216.409,1536.86,-293.05,218.488,1536.29,-255.219,212.711,1482.24
203,0,-255.805,216.523,1536.85,-293.075,218.639,1536.24,-255.238,212.807,1482.22
204,0,-255.839,216.616,1536.83,-293.068,218.801,1536.18,-255.253,212.927,1482.21
205,0,-255.848,216.713,1536.81,-292.947,219.101,1536.24,-255.288,213.091,1482.22
206,0,-255.857,216.821,1536.82,-293.087,219.097,1536.15,-255.32,213.227,1482.21
207,0,-255.896,216.95,1536.8,-293.119,219.246,1536.11,-255.297,213.41,1482.18
208,0,-255.902,217.113,1536.8,-293.147,219.398,1536.14,-255.309,213.605,1482.19
209,0,-255.926,217.257,1536.83,-293.145,219.643,1536.23,-255.288,213.897,1482.29
210,0,-255.819,217.547,1536.89,-293.186,219.708,1536.22,-255.2,214.119,1482.3
211,0,-255.954,217.556,1536.8,-293.229,219.755,1536.19,-255.307,214.108,1482.17
212,0,-255.98,217.648,1536.78,-293.242,219.869,1536.22,-255.323,214.223,1482.18
213,0,-256.008,217.746,1536.77,-293.276,219.937,1536.25,-255.323,214.295,1482.17
214,0,-255.892,218.008,1536.87,-293.259,220.078,1536.27,-255.263,214.452,1482.26
215,0,-256.094,217.917,1536.77,-293.349,220.099,1536.21,-255.372,214.437,1482.2
216,0,-255.997,218.185,1536.86,-293.279,220.251,1536.27,-255.387,214.473,1482.18
217,0,-255.96,218.259,1536.85,-293.287,220.335,1536.26,-255.349,214.582,1482.25
218,0,-256.135,218.236,1536.78,-293.408,220.33,1536.19,-255.441,214.597,1482.23
219,0,-256.133,218.369,1536.79,-293.387,220.435,1536.18,-255.458,214.656,1482.22
220,0,-256.089,218.498,1536.81,-293.394,220.539,1536.14,-255.477,214.729,1482.2
221,0,-256.096,218.648,1536.8,-293.412,220.652,1536.08,-255.485,214.804,1482.21
222,0,-256.087,218.794,1536.82,-293.409,220.827,1536.09,-255.497,214.84,1482.18
223,0,-256.101,218.913,1536.83,-293.397,220.964,1536.05,-255.53,214.927,1482.17
224,0,-256.127,218.99,1536.8,-293.444,221.059,1536.05,-255.535,214.98,1482.16
225,0,-256.138,219.118,1536.79,-293.436,221.179,1536.02,-255.563,215.084,1482.13
226,0,-256.152,219.188,1536.77,-293.485,221.297,1536.01,-255.627,215.114,1482.07
227,0,-256.205,219.268,1536.76,-293.51,221.387,1536.03,-255.641,215.205,1482.07
228,0,-256.224,219.324,1536.73,-293.548,221.489,1536.04,-255.698,215.301,1482.03
229,0,-256.265,219.387,1536.7,-293.565,221.626,1536.02,-255.74,215.361,1481.97
230,0,-256.289,219.463,1536.68,-293.584,221.743,1536.02,-255.752,215.481,1481.94
231,0,-256.326,219.521,1536.67,-293.615,221.819,1536.02,-255.752,215.585,1481.87
232,0,-256.347,219.629,1536.66,-293.638,221.918,1536,-255.763,215.762,1481.88
233,0,-256.396,219.747,1536.65,-293.641,222.012,1536.01,-255.783,215.927,1481.88
234,0,-256.441,219.791,1536.63,-293.652,222.11,1536.02,-255.791,216.033,1481.87
235,0,-256.483,219.854,1536.63,-293.674,222.175,1536.03,-255.834,216.169,1481.89
236,0,-256.527,219.931,1536.6,-293.732,222.234,1536.01,-255.845,216.246,1481.88
237,0,-256.558,219.974,1536.56,-293.738,222.31,1536.01,-255.841,216.319,1481.9
238,0,-256.602,220.016,1536.55,-293.752,222.368,1535.99,-255.857,216.391,1481.88
239,0,-256.625,220.083,1536.51,-293.76,222.383,1535.97,-255.853,216.416,1481.81
240,0,-256.63,220.115,1536.5,-293.777,222.464,1535.94,-255.893,216.495,1481.82
241,0,-256.678,220.119,1536.46,-293.798,222.492,1535.89,-255.912,216.504,1481.78
242,0,-256.698,220.167,1536.43,-293.811,222.54,1535.87,-255.949,216.594,1481.8
243,0,-256.721,220.194,1536.4,-293.835,222.575,1535.83,-255.968,216.63,1481.76
244,0,-256.728,220.229,1536.35,-293.842,222.609,1535.77,-256.011,216.711,1481.76
245,0,-256.745,220.262,1536.27,-293.884,222.651,1535.71,-256.033,216.717,1481.7
246,0,-256.777,220.322,1536.22,-293.88,222.675,1535.65,-256.041,216.743,1481.68
247,0,-256.785,220.35,1536.19,-293.916,222.699,1535.58,-256.072,216.777,1481.61
248,0,-256.807,220.336,1536.11,-293.939,222.741,1535.56,-256.11,216.819,1481.6
249,0,-256.837,220.343,1536.07,-293.95,222.773,1535.47,-256.097,216.821,1481.52
250,0,-256.846,220.368,1536.03,-294.001,222.767,1535.42,-256.11,216.84,1481.5
251,0,-256.875,220.385,1535.98,-294.044,222.761,1535.38,-256.127,216.873,1481.44
252,0,-256.898,220.382,1535.93,-294.07,222.787,1535.34,-256.155,216.883,1481.4
253,0,-256.929,220.423,1535.92,-294.094,222.792,1535.29,-256.175,216.897,1481.34
254,0,-256.913,220.465,1535.88,-294.137,222.817,1535.28,-256.165,216.947,1481.31
255,0,-256.924,220.485,1535.83,-294.167,222.847,1535.24,-256.212,216.983,1481.25
256,0,-256.931,220.515,1535.82,-294.188,222.878,1535.23,-256.207,217.056,1481.25
257,0,-256.953,220.55,1535.81,-294.227,222.92,1535.17,-256.198,217.059,1481.18
258,0,-256.954,220.578,1535.8,-294.247,222.946,1535.13,-256.212,217.102,1481.15
259,0,-256.983,220.607,1535.72,-294.294,223.023,1535.11,-256.232,217.161,1481.12
260,0,-257.029,220.661,1535.72,-294.326,223.047,1535.09,-256.241,217.183,1481.07
261,0,-256.962,220.748,1535.74,-294.347,223.056,1535.03,-256.197,217.225,1481.07
262,0,-257.066,220.673,1535.63,-294.401,223.008,1534.91,-256.27,217.174,1481
263,0,-257.083,220.713,1535.6,-294.363,222.96,1534.89,-256.287,217.215,1480.96
264,0,-257.135,220.75,1535.58,-294.436,223.021,1534.82,-256.296,217.21,1480.94
265,0,-257.141,220.755,1535.55,-294.417,223.018,1534.83,-256.29,217.185,1480.92
266,0,-257.165,220.782,1535.53,-294.437,223.019,1534.78,-256.312,217.195,1480.88
267,0,-257.174,220.808,1535.5,-294.469,223.041,1534.73,-256.32,217.206,1480.85
268,0,-257.183,220.822,1535.49,-294.48,223.064,1534.69,-256.338,217.222,1480.84
269,0,-257.204,220.838,1535.44,-294.502,223.087,1534.63,-256.339,217.256,1480.82
270,0,-257.203,220.85,1535.42,-294.51,223.103,1534.62,-256.346,217.251,1480.82
271,0,-257.252,220.891,1535.43,-294.534,223.151,1534.58,-256.368,217.263,1480.78
272,0,-257.263,220.907,1535.38,-294.563,223.179,1534.52,-256.38,217.282,1480.76
273,0,-257.275,220.963,1535.36,-294.56,223.25,1534.48,-256.443,217.334,1480.7
274,0,-257.289,221.043,1535.36,-294.581,223.286,1534.45,-256.452,217.375,1480.69
275,0,-257.323,221.13,1535.3,-294.641,223.38,1534.43,-256.509,217.406,1480.67
276,0,-257.319,221.23,1535.28,-294.662,223.458,1534.4,-256.522,217.426,1480.65
277,0,-257.34,221.324,1535.27,-294.637,223.515,1534.36,-256.541,217.432,1480.6
278,0,-257.26,221.462,1535.26,-294.537,223.721,1534.39,-256.551,217.466,1480.59
279,0,-257.333,221.468,1535.2,-294.66,223.668,1534.3,-256.57,217.494,1480.56
280,0,-257.249,221.648,1535.22,-294.537,223.845,1534.35,-256.559,217.573,1480.57
281,0,-257.34,221.586,1535.14,-294.689,223.769,1534.28,-256.603,217.557,1480.51
282,0,-257.354,221.694,1535.15,-294.699,223.809,1534.29,-256.61,217.576,1480.48
283,0,-257.354,221.741,1535.12,-294.692,223.857,1534.27,-256.631,217.619,1480.46
284,0,-257.363,221.796,1535.11,-294.708,223.917,1534.26,-256.643,217.659,1480.43
285,0,-257.342,221.869,1535.08,-294.702,223.965,1534.24,-256.652,217.698,1480.41
286,0,-257.357,221.962,1535.09,-294.695,224.029,1534.25,-256.667,217.745,1480.39
